,Open,Low,High,Close
2025-11-28,34.7,34.08,34.7,34.47
2025-12-01,34.38,34.2,35.07,34.81
2025-12-02,34.76,34.51,35.27,34.64
2025-12-03,33.42,33.39,35.01,34.8
2025-12-04,35.84,35.75,37.24,37.01
2025-12-05,37.0,36.87,37.54,37.2
2025-12-08,37.1,36.66,37.41,36.76
2025-12-09,37.32,36.46,37.68,36.53
2025-12-10,36.42,35.59,36.52,36.01
2025-12-11,36.15,34.92,36.58,36.25
2025-12-12,36.64,36.61,37.49,37.13
2025-12-15,36.99,36.96,37.58,37.4
2025-12-16,37.15,36.32,37.97,36.69
2025-12-17,36.7,36.27,37.0,36.4
2025-12-18,36.25,35.52,36.26,35.69
2025-12-19,36.14,35.8,36.65,36.26
2025-12-22,36.36,35.74,36.37,36.08
2025-12-23,35.9,35.44,35.98,35.54
2025-12-24,35.55,35.4,35.73,35.73
2025-12-29,35.73,35.19,35.8,35.19
2025-12-30,35.24,35.09,35.5,35.47
2025-12-31,35.3,35.08,35.42,35.42
2026-01-02,35.48,35.48,36.36,36.36
2026-01-05,36.49,35.41,36.76,35.6
2026-01-06,35.69,34.92,35.84,34.98
2026-01-07,35.05,34.53,35.05,34.68
2026-01-08,34.49,32.8,34.54,33.78
2026-01-09,33.76,33.59,34.32,33.8
2026-01-12,33.89,33.04,33.92,33.42
2026-01-13,33.3,32.9,33.52,33.43
2026-01-14,33.5,32.97,33.88,33.21
2026-01-15,33.16,32.66,33.29,32.8
2026-01-16,32.8,31.8,32.85,31.83
2026-01-19,31.06,30.58,31.52,31.15
2026-01-20,31.36,31.16,32.34,31.85
2026-01-21,32.0,31.92,32.98,32.9
2026-01-22,33.72,32.33,33.76,32.33
2026-01-23,32.3,32.01,32.49,32.32
2026-01-26,32.34,32.05,32.48,32.18
2026-01-27,32.17,31.51,32.17,31.65
2026-01-28,31.64,31.4,32.1,31.87
2026-01-29,32.35,31.51,32.38,31.77
2026-01-30,31.98,31.63,32.04,31.88
2026-02-02,31.74,31.61,32.14,31.87
2026-02-03,31.36,30.24,31.42,30.54
2026-02-04,30.7,30.65,32.12,32.12
2026-02-05,32.0,31.58,32.4,31.93
2026-02-06,31.4,30.15,31.43,30.87
2026-02-09,31.0,30.8,31.31,31.03
2026-02-10,31.2,31.17,31.94,31.64
2026-02-11,31.45,31.24,31.75,31.5
2026-02-12,32.11,31.59,32.34,32.19
2026-02-13,32.15,32.04,33.38,32.8
2026-02-16,32.65,32.14,32.78,32.3
2026-02-17,32.48,32.38,32.98,32.62
2026-02-18,32.51,32.27,33.27,33.19
2026-02-19,32.23,31.0,34.2,32.16
2026-02-20,31.66,31.66,33.06,32.35
2026-02-23,32.2,31.92,32.405,32.01
2026-02-24,32.05,32.05,32.87,32.59
2026-02-25,32.77,32.44,32.87,32.49
2026-02-26,32.51,32.32,32.9,32.43
2026-02-27,32.5,31.79,32.5,32.11
2026-03-02,30.95,30.13,31.05,30.49
2026-03-03,30.5,28.71,30.5,29.37
2026-03-04,29.4,28.88,29.91,29.01
2026-03-05,28.99,28.47,29.38,28.67
2026-03-06,28.86,28.19,28.98,28.51
2026-03-09,28.0,27.78,28.4,28.06
2026-03-10,28.79,28.02,28.92,28.17
2026-03-11,28.07,28.06,29.17,28.9
2026-03-12,28.7,28.5,29.12,29.12
2026-03-13,28.98,28.41,28.99,28.47
2026-03-16,28.4,28.04,28.56,28.21
2026-03-17,28.26,28.26,28.66,28.4
2026-03-18,28.57,28.03,28.77,28.03
2026-03-19,27.78,27.15,27.78,27.32
2026-03-20,27.58,27.32,28.1,27.64
2026-03-23,27.19,26.87,28.5,28.06
2026-03-24,28.2,27.4,28.23,27.85
2026-03-25,28.24,28.08,28.58,28.16
2026-03-26,28.03,27.8,28.23,28.17
2026-03-27,28.2,27.85,28.59,28.29
2026-03-30,28.07,27.71,28.49,28.49
2026-03-31,28.59,28.4,29.06,29.02
2026-04-01,29.81,29.68,30.29,30.04
2026-04-02,29.67,29.46,30.25,30.1
2026-04-07,30.06,29.28,30.4,29.42
2026-04-08,31.47,30.98,31.72,31.46
2026-04-09,31.24,30.71,31.7,30.91
2026-04-10,31.04,30.715,31.39,30.98
2026-04-13,30.7,30.2,30.7,30.7
2026-04-14,31.0,30.92,31.42,31.02
2026-04-15,31.15,30.86,31.48,31.48
2026-04-16,31.64,31.32,31.73,31.45
2026-04-17,31.64,31.56,32.52,32.52
2026-04-20,32.07,31.57,32.32,31.66
2026-04-21,31.8,31.35,31.81,31.5
2026-04-22,31.5,31.27,31.93,31.29
2026-04-23,32.75,30.87,32.83,30.87
